Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille;Flag_enfant
H;36;Marie;Exerce profession;Ouvrier specialise;Non;2;1;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
F;86;Veuf;Autre inactif;Ouvrier specialise;Non;2;6;Non;Oui;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
F;53;Marie;Autre inactif;Employe de bureau;Non;4;3;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
F;46;Marie;Exerce profession;Ouvrier qualifie;Non;9;1;Non;Oui;Non;0,0;Non;120,0;Non;Non;Pas assez;1
F;28;Celibataire;Exerce profession;Autre;Reprise de formation;2;0;Non;Non;Oui;180,0;Non;120,0;Non;Non;Comme il faut;0
H;46;Marie;Exerce profession;Profession intermediaire;Non;4;4;Non;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;41;Marie;Exerce profession;Technicien;Non;4;0;Non;Non;Non;60,0;Oui;34,29;Non;Non;Comme il faut;0
F;54;Marie;Autre inactif;Ouvrier specialise;Non;3;4;Oui;Oui;Non;60,0;Non;0,0;Non;Non;Comme il faut;1
F;49;Marie;Autre inactif;Profession intermediaire;Non;1;2;Non;Oui;Oui;60,0;Oui;60,0;Non;Oui;Comme il faut;1
H;39;Divorce;Exerce profession;Profession intermediaire;Non;2;0;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;0
F;42;Marie;Exerce profession;Cadre;Non;2;2;Non;Oui;Non;0,0;Non;0,0;Non;Oui;Pas assez;1
F;66;Marie;Retraite;Employe de bureau;Non;0;3;Oui;Oui;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
F;37;Marie;Exerce profession;Cadre;Non;3;2;Oui;Oui;Oui;60,0;Non;0,0;Non;Oui;Comme il faut;1
F;59;Marie;Autre inactif;Employe de bureau;Non;7;3;Oui;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;19;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut;0
H;50;Marie;Exerce profession;Non concerne;Non;5;3;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;68;Marie;Retraite;Autre;Non;1;1;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;72;Marie;Autre inactif;Non concerne;Non;5;2;Non;Non;Non;60,0;Non;25,71;Non;Non;Comme il faut;1
F;21;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;51,43;Non;0,0;Non;Oui;Pas assez;0
F;53;Marie;Exerce profession;Non concerne;Non;2;4;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;76;Marie;Retraite;Ouvrier qualifie;Non;14;10;Non;Non;Non;660,0;Non;0,0;Non;Non;Comme il faut;1
H;22;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut;0
F;30;Celibataire;Autre inactif;Non concerne;Non;2;0;Non;Non;Oui;180,0;Non;0,0;Non;Oui;Pas assez;0
F;55;Divorce;Exerce profession;Employe de bureau;Non;4;2;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
H;64;Marie;Retraite;Profession intermediaire;Non;3;4;Non;Non;Non;25,71;Non;0,0;Non;Non;Comme il faut;1
F;23;Celibataire;Exerce profession;Ouvrier qualifie;Non;1;0;Non;Oui;Oui;360,0;Non;0,0;Non;Oui;Pas assez;0
F;39;Marie;Exerce profession;Employe de bureau;Non;2;2;Non;Oui;Oui;0,0;Non;60,0;Non;Non;Pas assez;1
F;72;Marie;Retraite;Employe de bureau;Non;3;1;Non;Non;Non;240,0;Non;0,0;Non;Non;Pas assez;1
F;18;Celibataire;Etudiant;Non concerne;formation initiale;4;0;Non;Oui;Oui;180,0;Non;0,0;Non;Non;Comme il faut;0
H;45;Marie;Exerce profession;Autre;Non;1;5;Non;Non;Non;8,57;Oui;60,0;Non;Oui;Comme il faut;1
H;42;Marie;Exerce profession;Cadre;Non;4;2;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;64;Marie;Retraite;Profession intermediaire;Non;0;2;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;53;Marie;Exerce profession;Non concerne;Non;7;2;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
H;68;Marie;Retraite;Cadre;Non;3;2;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
